template,query_id,result_count,time_ms,dataset,triple_patterns
Q_1_eligibleregion,Q_1_eligibleregion_query_001,39,1.053,data_2M,1
Q_1_eligibleregion,Q_1_eligibleregion_query_002,79,0.318,data_2M,1
Q_1_eligibleregion,Q_1_eligibleregion_query_003,61,0.163,data_2M,1
Q_1_eligibleregion,Q_1_eligibleregion_query_004,96,0.178,data_2M,1
Q_1_eligibleregion,Q_1_eligibleregion_query_005,131,0.165,data_2M,1
Q_1_eligibleregion,Q_1_eligibleregion_query_006,660,1.312,data_2M,1
Q_1_eligibleregion,Q_1_eligibleregion_query_007,38,0.107,data_2M,1
Q_1_eligibleregion,Q_1_eligibleregion_query_008,35,0.085,data_2M,1
Q_1_eligibleregion,Q_1_eligibleregion_query_009,61,0.268,data_2M,1
Q_1_eligibleregion,Q_1_eligibleregion_query_010,26,0.106,data_2M,1
Q_1_eligibleregion,Q_1_eligibleregion_query_011,54,0.099,data_2M,1
Q_1_eligibleregion,Q_1_eligibleregion_query_012,110,0.321,data_2M,1
Q_1_eligibleregion,Q_1_eligibleregion_query_013,1720,8.164,data_2M,1
Q_1_eligibleregion,Q_1_eligibleregion_query_014,269,0.894,data_2M,1
Q_1_eligibleregion,Q_1_eligibleregion_query_015,88,0.205,data_2M,1
Q_1_eligibleregion,Q_1_eligibleregion_query_016,61,0.079,data_2M,1
Q_1_eligibleregion,Q_1_eligibleregion_query_017,61,0.167,data_2M,1
Q_1_eligibleregion,Q_1_eligibleregion_query_018,128,0.164,data_2M,1
Q_1_eligibleregion,Q_1_eligibleregion_query_019,32,0.039,data_2M,1
Q_1_eligibleregion,Q_1_eligibleregion_query_020,56,0.102,data_2M,1
Q_1_eligibleregion,Q_1_eligibleregion_query_021,44,0.072,data_2M,1
Q_1_eligibleregion,Q_1_eligibleregion_query_022,52,0.058,data_2M,1
Q_1_eligibleregion,Q_1_eligibleregion_query_023,51,0.057,data_2M,1
Q_1_eligibleregion,Q_1_eligibleregion_query_024,37,0.043,data_2M,1
Q_1_eligibleregion,Q_1_eligibleregion_query_025,114,0.116,data_2M,1
Q_1_eligibleregion,Q_1_eligibleregion_query_026,26,0.032,data_2M,1
Q_1_eligibleregion,Q_1_eligibleregion_query_027,34,0.038,data_2M,1
Q_1_eligibleregion,Q_1_eligibleregion_query_028,44,0.047,data_2M,1
Q_1_eligibleregion,Q_1_eligibleregion_query_029,51,0.045,data_2M,1
Q_1_eligibleregion,Q_1_eligibleregion_query_030,134,0.124,data_2M,1
Q_1_eligibleregion,Q_1_eligibleregion_query_031,49,0.050,data_2M,1
Q_1_eligibleregion,Q_1_eligibleregion_query_032,39,0.043,data_2M,1
Q_1_eligibleregion,Q_1_eligibleregion_query_033,110,0.098,data_2M,1
Q_1_eligibleregion,Q_1_eligibleregion_query_034,52,0.053,data_2M,1
Q_1_eligibleregion,Q_1_eligibleregion_query_035,560,0.521,data_2M,1
Q_1_eligibleregion,Q_1_eligibleregion_query_036,45,0.049,data_2M,1
Q_1_eligibleregion,Q_1_eligibleregion_query_037,114,0.090,data_2M,1
Q_1_eligibleregion,Q_1_eligibleregion_query_038,25,0.066,data_2M,1
Q_1_eligibleregion,Q_1_eligibleregion_query_039,49,0.036,data_2M,1
Q_1_eligibleregion,Q_1_eligibleregion_query_040,42,0.052,data_2M,1
Q_1_eligibleregion,Q_1_eligibleregion_query_041,32,0.041,data_2M,1
Q_1_eligibleregion,Q_1_eligibleregion_query_042,267,0.302,data_2M,1
Q_1_eligibleregion,Q_1_eligibleregion_query_043,30,0.043,data_2M,1
Q_1_eligibleregion,Q_1_eligibleregion_query_044,134,0.271,data_2M,1
Q_1_eligibleregion,Q_1_eligibleregion_query_045,73,0.106,data_2M,1
Q_1_eligibleregion,Q_1_eligibleregion_query_046,560,0.607,data_2M,1
Q_1_eligibleregion,Q_1_eligibleregion_query_047,114,0.106,data_2M,1
Q_1_eligibleregion,Q_1_eligibleregion_query_048,33,0.037,data_2M,1
Q_1_eligibleregion,Q_1_eligibleregion_query_049,887,1.334,data_2M,1
Q_1_eligibleregion,Q_1_eligibleregion_query_050,42,0.363,data_2M,1
