template,query_id,result_count,time_ms,dataset,triple_patterns
Q_1_eligibleregion,Q_1_eligibleregion_query_001,18,19.952,data_500K,1
Q_1_eligibleregion,Q_1_eligibleregion_query_002,19,0.364,data_500K,1
Q_1_eligibleregion,Q_1_eligibleregion_query_003,21,0.389,data_500K,1
Q_1_eligibleregion,Q_1_eligibleregion_query_004,30,0.449,data_500K,1
Q_1_eligibleregion,Q_1_eligibleregion_query_005,27,0.383,data_500K,1
Q_1_eligibleregion,Q_1_eligibleregion_query_006,172,4.347,data_500K,1
Q_1_eligibleregion,Q_1_eligibleregion_query_007,9,0.326,data_500K,1
Q_1_eligibleregion,Q_1_eligibleregion_query_008,6,0.119,data_500K,1
Q_1_eligibleregion,Q_1_eligibleregion_query_009,21,0.393,data_500K,1
Q_1_eligibleregion,Q_1_eligibleregion_query_010,6,0.210,data_500K,1
Q_1_eligibleregion,Q_1_eligibleregion_query_011,17,0.628,data_500K,1
Q_1_eligibleregion,Q_1_eligibleregion_query_012,26,0.553,data_500K,1
Q_1_eligibleregion,Q_1_eligibleregion_query_013,427,4.405,data_500K,1
Q_1_eligibleregion,Q_1_eligibleregion_query_014,87,0.613,data_500K,1
Q_1_eligibleregion,Q_1_eligibleregion_query_015,16,0.157,data_500K,1
Q_1_eligibleregion,Q_1_eligibleregion_query_016,22,0.185,data_500K,1
Q_1_eligibleregion,Q_1_eligibleregion_query_017,21,0.198,data_500K,1
Q_1_eligibleregion,Q_1_eligibleregion_query_018,42,0.294,data_500K,1
Q_1_eligibleregion,Q_1_eligibleregion_query_019,12,0.158,data_500K,1
Q_1_eligibleregion,Q_1_eligibleregion_query_020,9,0.108,data_500K,1
Q_1_eligibleregion,Q_1_eligibleregion_query_021,10,0.153,data_500K,1
Q_1_eligibleregion,Q_1_eligibleregion_query_022,15,0.282,data_500K,1
Q_1_eligibleregion,Q_1_eligibleregion_query_023,7,0.117,data_500K,1
Q_1_eligibleregion,Q_1_eligibleregion_query_024,15,0.148,data_500K,1
Q_1_eligibleregion,Q_1_eligibleregion_query_025,40,0.295,data_500K,1
Q_1_eligibleregion,Q_1_eligibleregion_query_026,6,0.093,data_500K,1
Q_1_eligibleregion,Q_1_eligibleregion_query_027,9,0.104,data_500K,1
Q_1_eligibleregion,Q_1_eligibleregion_query_028,9,0.103,data_500K,1
Q_1_eligibleregion,Q_1_eligibleregion_query_029,7,0.285,data_500K,1
Q_1_eligibleregion,Q_1_eligibleregion_query_030,29,0.524,data_500K,1
Q_1_eligibleregion,Q_1_eligibleregion_query_031,6,0.107,data_500K,1
Q_1_eligibleregion,Q_1_eligibleregion_query_032,18,0.158,data_500K,1
Q_1_eligibleregion,Q_1_eligibleregion_query_033,26,0.205,data_500K,1
Q_1_eligibleregion,Q_1_eligibleregion_query_034,16,0.151,data_500K,1
Q_1_eligibleregion,Q_1_eligibleregion_query_035,142,1.635,data_500K,1
Q_1_eligibleregion,Q_1_eligibleregion_query_036,7,0.191,data_500K,1
Q_1_eligibleregion,Q_1_eligibleregion_query_037,40,1.986,data_500K,1
Q_1_eligibleregion,Q_1_eligibleregion_query_038,7,0.369,data_500K,1
Q_1_eligibleregion,Q_1_eligibleregion_query_039,6,0.091,data_500K,1
Q_1_eligibleregion,Q_1_eligibleregion_query_040,9,0.153,data_500K,1
Q_1_eligibleregion,Q_1_eligibleregion_query_041,4,0.074,data_500K,1
Q_1_eligibleregion,Q_1_eligibleregion_query_042,72,0.410,data_500K,1
Q_1_eligibleregion,Q_1_eligibleregion_query_043,10,0.113,data_500K,1
Q_1_eligibleregion,Q_1_eligibleregion_query_044,29,0.174,data_500K,1
Q_1_eligibleregion,Q_1_eligibleregion_query_045,17,0.139,data_500K,1
Q_1_eligibleregion,Q_1_eligibleregion_query_046,142,0.906,data_500K,1
Q_1_eligibleregion,Q_1_eligibleregion_query_047,40,0.275,data_500K,1
Q_1_eligibleregion,Q_1_eligibleregion_query_048,8,0.103,data_500K,1
Q_1_eligibleregion,Q_1_eligibleregion_query_049,237,0.921,data_500K,1
Q_1_eligibleregion,Q_1_eligibleregion_query_050,18,0.117,data_500K,1
Q_1_eligibleregion,Q_1_eligibleregion_query_051,5,0.062,data_500K,1
Q_1_eligibleregion,Q_1_eligibleregion_query_052,17,0.109,data_500K,1
Q_1_eligibleregion,Q_1_eligibleregion_query_053,19,0.108,data_500K,1
Q_1_eligibleregion,Q_1_eligibleregion_query_054,6,0.073,data_500K,1
Q_1_eligibleregion,Q_1_eligibleregion_query_055,427,2.332,data_500K,1
Q_1_eligibleregion,Q_1_eligibleregion_query_056,237,1.107,data_500K,1
Q_1_eligibleregion,Q_1_eligibleregion_query_057,26,0.117,data_500K,1
Q_1_eligibleregion,Q_1_eligibleregion_query_058,16,0.134,data_500K,1
Q_1_eligibleregion,Q_1_eligibleregion_query_059,13,0.088,data_500K,1
Q_1_eligibleregion,Q_1_eligibleregion_query_060,11,0.155,data_500K,1
Q_1_eligibleregion,Q_1_eligibleregion_query_061,9,0.073,data_500K,1
Q_1_eligibleregion,Q_1_eligibleregion_query_062,6,0.110,data_500K,1
Q_1_eligibleregion,Q_1_eligibleregion_query_063,27,0.105,data_500K,1
Q_1_eligibleregion,Q_1_eligibleregion_query_064,10,0.069,data_500K,1
Q_1_eligibleregion,Q_1_eligibleregion_query_065,6,0.109,data_500K,1
Q_1_eligibleregion,Q_1_eligibleregion_query_066,7,0.061,data_500K,1
Q_1_eligibleregion,Q_1_eligibleregion_query_067,13,0.063,data_500K,1
Q_1_eligibleregion,Q_1_eligibleregion_query_068,6,0.052,data_500K,1
Q_1_eligibleregion,Q_1_eligibleregion_query_069,5,0.190,data_500K,1
Q_1_eligibleregion,Q_1_eligibleregion_query_070,11,0.190,data_500K,1
Q_1_eligibleregion,Q_1_eligibleregion_query_071,42,0.149,data_500K,1
Q_1_eligibleregion,Q_1_eligibleregion_query_072,6,0.051,data_500K,1
Q_1_eligibleregion,Q_1_eligibleregion_query_073,17,0.076,data_500K,1
