config_id,dataset_size,heap_mb,template,query_index,time_ms
A3,2M,4096,Q_2_tag_homepage,51,0.005096
A3,2M,4096,Q_2_tag_homepage,10,0.002017
A3,2M,4096,Q_2_tag_homepage,42,0.000700
A3,2M,4096,Q_2_tag_homepage,55,0.000688
A3,2M,4096,Q_2_tag_homepage,11,0.000521
A3,2M,4096,Q_2_tag_homepage,56,0.000421
A3,2M,4096,Q_2_tag_homepage,36,0.000796
A3,2M,4096,Q_1_nationality,39,0.008154
A3,2M,4096,Q_1_nationality,19,0.002171
A3,2M,4096,Q_1_nationality,52,0.001871
A3,2M,4096,Q_1_nationality,13,0.001613
A3,2M,4096,Q_1_nationality,43,0.001158
A3,2M,4096,Q_1_nationality,3,0.001109
A3,2M,4096,Q_1_nationality,0,0.248188
A3,2M,4096,Q_2_subscribes_likes,79,0.025350
A3,2M,4096,Q_2_subscribes_likes,13,0.001667
A3,2M,4096,Q_2_subscribes_likes,1,0.012737
A3,2M,4096,Q_2_subscribes_likes,98,0.011721
A3,2M,4096,Q_2_subscribes_likes,57,0.001554
A3,2M,4096,Q_2_subscribes_likes,42,0.012279
A3,2M,4096,Q_2_subscribes_likes,78,0.000850
A3,2M,4096,Q_1_likes,8,0.010163
A3,2M,4096,Q_1_likes,31,0.000096
A3,2M,4096,Q_1_likes,27,0.000417
A3,2M,4096,Q_1_likes,0,0.011296
A3,2M,4096,Q_1_likes,36,0.000116
A3,2M,4096,Q_1_likes,2,0.000146
A3,2M,4096,Q_1_likes,16,0.012725
A3,2M,4096,Q_1_eligibleregion,31,0.058233
A3,2M,4096,Q_1_eligibleregion,51,0.006608
A3,2M,4096,Q_1_eligibleregion,23,0.015642
A3,2M,4096,Q_1_eligibleregion,45,0.003879
A3,2M,4096,Q_1_eligibleregion,43,0.007142
A3,2M,4096,Q_1_eligibleregion,49,0.005071
A3,2M,4096,Q_1_eligibleregion,48,0.087583
A3,2M,4096,Q_3_location_gender_type,19,267.245688
A3,2M,4096,Q_3_location_gender_type,31,17.735912
A3,2M,4096,Q_3_location_gender_type,25,23.462658
A3,2M,4096,Q_3_location_gender_type,4,1554.754104
A3,2M,4096,Q_3_location_gender_type,7,2995.208708
A3,2M,4096,Q_3_location_gender_type,49,53.279917
A3,2M,4096,Q_3_location_gender_type,17,146.374663
A3,2M,4096,Q_3_location_nationality_gender,55,10.392704
A3,2M,4096,Q_3_location_nationality_gender,65,0.293458
A3,2M,4096,Q_3_location_nationality_gender,5,40.177800
A3,2M,4096,Q_3_location_nationality_gender,14,0.374087
A3,2M,4096,Q_3_location_nationality_gender,61,0.326288
A3,2M,4096,Q_3_location_nationality_gender,88,0.143625
A3,2M,4096,Q_3_location_nationality_gender,54,487.744134
A3,2M,4096,Q_1_includes,15,0.005517
A3,2M,4096,Q_1_includes,52,0.000758
A3,2M,4096,Q_1_includes,2,0.000742
A3,2M,4096,Q_1_includes,17,0.000379
A3,2M,4096,Q_1_includes,8,0.001800
A3,2M,4096,Q_1_includes,13,0.000242
A3,2M,4096,Q_1_includes,43,0.000267
A3,2M,4096,Q_1_subscribes,38,0.001950
A3,2M,4096,Q_1_subscribes,28,0.000792
A3,2M,4096,Q_1_subscribes,36,0.014804
A3,2M,4096,Q_1_subscribes,50,0.000763
A3,2M,4096,Q_1_subscribes,7,0.003467
A3,2M,4096,Q_1_subscribes,46,0.003016
A3,2M,4096,Q_1_subscribes,56,0.001733
A3,2M,4096,Q_4_location_nationality_gender_type,21,90.730708
A3,2M,4096,Q_4_location_nationality_gender_type,12,0.597046
A3,2M,4096,Q_4_location_nationality_gender_type,35,1.603921
A3,2M,4096,Q_4_location_nationality_gender_type,19,0.021404
A3,2M,4096,Q_4_location_nationality_gender_type,57,9.551788
A3,2M,4096,Q_4_location_nationality_gender_type,48,21.914429
A3,2M,4096,Q_4_location_nationality_gender_type,8,10.830758
A3,2M,4096,Q_3_nationality_gender_type,48,24.015379
A3,2M,4096,Q_3_nationality_gender_type,20,26.486658
A3,2M,4096,Q_3_nationality_gender_type,30,251.636917
A3,2M,4096,Q_3_nationality_gender_type,24,28.905579
A3,2M,4096,Q_3_nationality_gender_type,33,20.606779
A3,2M,4096,Q_3_nationality_gender_type,40,1067.647663
A3,2M,4096,Q_3_nationality_gender_type,6,17.998458
A3,2M,4096,Q_2_likes_nationality,3,5.922588
A3,2M,4096,Q_2_likes_nationality,21,0.184633
A3,2M,4096,Q_2_likes_nationality,8,0.369983
A3,2M,4096,Q_2_likes_nationality,31,0.963812
A3,2M,4096,Q_2_likes_nationality,40,0.550613
A3,2M,4096,Q_2_likes_nationality,35,1.246250
A3,2M,4096,Q_2_likes_nationality,25,2.191396
A3,2M,4096,Q_2_includes_eligibleRegion,20,0.006275
A3,2M,4096,Q_2_includes_eligibleRegion,13,0.001354
A3,2M,4096,Q_2_includes_eligibleRegion,88,2.925633
A3,2M,4096,Q_2_includes_eligibleRegion,78,0.001446
A3,2M,4096,Q_2_includes_eligibleRegion,39,0.001071
A3,2M,4096,Q_2_includes_eligibleRegion,97,0.001613
A3,2M,4096,Q_2_includes_eligibleRegion,93,0.000825
A3,2M,4096,Q_2_includes_eligibleRegion,82,0.021946
A3,2M,4096,Q_1_includes,31,0.000337
A3,2M,4096,Q_1_subscribes,1,0.006842
A3,2M,4096,Q_3_nationality_gender_type,42,264.902779
A3,2M,4096,Q_3_location_nationality_gender,32,1.182033
A3,2M,4096,Q_1_includes,46,0.002488
A3,2M,4096,Q_4_location_nationality_gender_type,3,0.188321
A3,2M,4096,Q_4_location_nationality_gender_type,69,2.212575
A3,2M,4096,Q_2_includes_eligibleRegion,35,0.014967
