config_id,optimization,selectivity,template,query_index,time_ms
B1,noindex,high,Q_2_includes_eligibleRegion,74,2.469841
B1,noindex,high,Q_1_subscribes,42,0.784250
B1,noindex,high,Q_2_subscribes_likes,61,2.293017
B1,noindex,high,Q_3_location_nationality_gender,43,7.573150
B1,noindex,high,Q_2_likes_nationality,17,3.074954
B1,noindex,high,Q_1_eligibleregion,52,0.779667
B1,noindex,high,Q_2_tag_homepage,44,2.166300
B1,noindex,high,Q_4_location_nationality_gender_type,3,7.881691
B1,noindex,high,Q_2_subscribes_likes,4,2.205758
B1,noindex,high,Q_3_location_nationality_gender,91,6.951042
B1,noindex,high,Q_3_location_nationality_gender,6,3.608967
B1,noindex,high,Q_3_location_nationality_gender,34,6.914383
B1,noindex,high,Q_2_includes_eligibleRegion,18,2.113296
B1,noindex,high,Q_4_location_nationality_gender_type,45,8.772542
B1,noindex,high,Q_3_location_nationality_gender,92,5.893662
B1,noindex,high,Q_2_subscribes_likes,39,2.145871
B1,noindex,high,Q_2_includes_eligibleRegion,38,2.444616
B1,noindex,high,Q_2_likes_nationality,52,11.671221
B1,noindex,high,Q_2_includes_eligibleRegion,92,2.876833
B1,noindex,high,Q_3_location_nationality_gender,33,5.177971
B1,noindex,high,Q_2_likes_nationality,6,2.154338
B1,noindex,high,Q_1_includes,10,0.764979
B1,noindex,high,Q_2_includes_eligibleRegion,62,4.092888
B1,noindex,high,Q_1_eligibleregion,43,0.775042
B1,noindex,high,Q_2_includes_eligibleRegion,68,2.181338
