template,query_index,result_count,mean_ms
Q_2_includes_eligibleRegion,74,0,0.0004
Q_1_subscribes,42,0,0.0002
Q_2_subscribes_likes,61,0,0.0003
Q_3_location_nationality_gender,43,0,1.5874
Q_2_likes_nationality,17,0,2.4435
Q_1_eligibleregion,52,89,0.0183
Q_2_tag_homepage,44,0,0.0004
Q_4_location_nationality_gender_type,3,0,0.2488
Q_2_subscribes_likes,4,0,0.001
Q_3_location_nationality_gender,91,1,6.5642
Q_3_location_nationality_gender,6,0,0.0911
Q_3_location_nationality_gender,34,0,11.8012
Q_2_includes_eligibleRegion,18,0,0.0003
Q_4_location_nationality_gender_type,45,0,0.2989
Q_3_location_nationality_gender,92,0,0.0292
Q_2_subscribes_likes,39,0,0.0003
Q_2_includes_eligibleRegion,38,0,0.0002
Q_2_likes_nationality,52,6,25.3436
Q_2_includes_eligibleRegion,92,0,0.0005
Q_3_location_nationality_gender,33,0,6.0076
Q_2_likes_nationality,6,1,2.0359
Q_1_includes,10,0,0.0003
Q_2_includes_eligibleRegion,62,0,1.1751
Q_1_eligibleregion,43,81,0.0181
Q_2_includes_eligibleRegion,68,0,0.0001
