template,query_index,result_count,mean_ms
Q_3_location_gender_type,4,113,3137.9469
Q_1_eligibleregion,28,933,0.2803
Q_1_nationality,0,510,0.1229
Q_1_eligibleregion,35,143,0.034
Q_1_eligibleregion,11,2823,0.8452
Q_1_eligibleregion,12,454,0.1052
Q_3_location_gender_type,7,192,5998.2469
Q_1_nationality,4,230,0.0557
Q_1_eligibleregion,15,257,0.0634
Q_1_eligibleregion,0,105,0.0622
Q_1_eligibleregion,4,221,0.0578
Q_1_eligibleregion,33,460,0.1127
Q_1_eligibleregion,5,1118,0.4045
Q_1_eligibleregion,22,188,0.0552
Q_1_eligibleregion,14,118,0.0278
Q_1_eligibleregion,56,229,0.105
Q_1_eligibleregion,1,116,0.0423
Q_1_eligibleregion,2,143,0.0524
Q_1_nationality,22,1077,0.2634
Q_1_eligibleregion,3,178,0.0507
Q_1_eligibleregion,50,783,0.1847
Q_1_nationality,40,378,0.1536
Q_1_eligibleregion,53,124,0.0251
Q_1_eligibleregion,37,1480,0.4322
Q_3_nationality_gender_type,4,103,3129.2985
