system,template,query_index,mean_ms,median_ms,stddev_ms,p95_ms,result_count
OurPrototype,Q_1_eligibleregion,43,0.016918,0.012291,0.034006,0.033542,6
OurPrototype,Q_1_eligibleregion,52,0.008468,0.006459,0.007804,0.034250,6
OurPrototype,Q_1_includes,10,0.001597,0.001583,0.000047,0.001667,0
OurPrototype,Q_1_subscribes,42,0.001583,0.001542,0.000078,0.001750,0
OurPrototype,Q_1_nationality,0,0.022280,0.012979,0.028387,0.064750,88
OurPrototype,Q_1_nationality,4,0.006007,0.005792,0.000656,0.008375,36
OurPrototype,Q_1_nationality,22,0.018436,0.017604,0.002050,0.021625,162
OurPrototype,Q_1_nationality,40,0.006590,0.005563,0.002687,0.014791,57
OurPrototype,Q_1_likes,0,0.000768,0.000416,0.001985,0.000458,0
OurPrototype,Q_1_likes,5,0.000419,0.000416,0.000048,0.000500,0
OurPrototype,Q_2_includes_eligibleRegion,18,0.006183,0.006042,0.000490,0.006791,0
OurPrototype,Q_2_includes_eligibleRegion,38,0.004653,0.002458,0.006453,0.006208,0
OurPrototype,Q_2_includes_eligibleRegion,62,0.362018,0.370146,0.067179,0.505833,0
OurPrototype,Q_2_includes_eligibleRegion,68,0.000649,0.000625,0.000055,0.000750,0
OurPrototype,Q_2_includes_eligibleRegion,74,0.000542,0.000542,0.000043,0.000625,0
OurPrototype,Q_2_includes_eligibleRegion,92,0.000547,0.000542,0.000037,0.000625,0
OurPrototype,Q_2_likes_nationality,6,0.000553,0.000542,0.000036,0.000625,0
OurPrototype,Q_2_likes_nationality,17,0.161572,0.095146,0.099251,0.394208,0
OurPrototype,Q_2_likes_nationality,52,0.553442,0.549688,0.017872,0.601500,1
OurPrototype,Q_2_subscribes_likes,4,0.000549,0.000542,0.000039,0.000666,0
OurPrototype,Q_2_subscribes_likes,39,0.000528,0.000541,0.000029,0.000583,0
OurPrototype,Q_2_subscribes_likes,61,0.000561,0.000542,0.000052,0.000666,0
OurPrototype,Q_2_tag_homepage,44,0.000892,0.000542,0.001197,0.005042,0
OurPrototype,Q_3_location_nationality_gender,6,0.000728,0.000709,0.000048,0.000750,0
OurPrototype,Q_3_location_nationality_gender,33,0.000950,0.000917,0.000148,0.001083,0
OurPrototype,Q_3_location_nationality_gender,34,0.184936,0.157563,0.063744,0.253625,0
OurPrototype,Q_3_location_nationality_gender,43,0.078647,0.063688,0.037180,0.190583,0
OurPrototype,Q_3_location_nationality_gender,91,0.114597,0.102396,0.026181,0.161209,0
OurPrototype,Q_3_location_nationality_gender,92,0.003132,0.002896,0.000765,0.005500,0
OurPrototype,Q_3_location_gender_type,4,29.649665,29.269834,5.631628,43.659958,14
OurPrototype,Q_3_location_gender_type,7,115.186892,103.985625,26.780941,168.651833,26
OurPrototype,Q_3_nationality_gender_type,4,54.573606,52.901001,6.430873,66.906417,20
OurPrototype,Q_4_location_nationality_gender_type,3,0.008640,0.001291,0.016987,0.033875,0
OurPrototype,Q_4_location_nationality_gender_type,45,0.003479,0.001980,0.004060,0.014209,0
Colleague,Q_1_eligibleregion,43,0.262413,0.239396,0.073894,0.318709,6
Colleague,Q_1_eligibleregion,52,0.299874,0.304520,0.046065,0.377709,6
Colleague,Q_1_includes,10,0.005692,0.005083,0.001395,0.009250,0
Colleague,Q_1_subscribes,42,0.005453,0.005042,0.001035,0.008250,0
Colleague,Q_1_nationality,0,0.597451,0.450834,0.323163,1.265542,88
Colleague,Q_1_nationality,4,0.318572,0.309771,0.042132,0.419084,36
Colleague,Q_1_nationality,22,0.536328,0.406105,0.223222,0.975417,162
Colleague,Q_1_nationality,40,0.300628,0.295459,0.024088,0.353917,57
Colleague,Q_1_likes,0,0.003381,0.002229,0.002984,0.007917,0
Colleague,Q_1_likes,5,0.014097,0.002334,0.060114,0.011334,0
Colleague,Q_2_includes_eligibleRegion,18,0.418967,0.388229,0.127293,0.693709,0
Colleague,Q_2_includes_eligibleRegion,38,0.368469,0.364167,0.053674,0.460167,0
Colleague,Q_2_includes_eligibleRegion,62,1.054253,0.925334,0.284941,1.718583,0
Colleague,Q_2_includes_eligibleRegion,68,0.375652,0.348896,0.146181,0.441875,0
Colleague,Q_2_includes_eligibleRegion,74,0.308775,0.304896,0.026264,0.341334,0
Colleague,Q_2_includes_eligibleRegion,92,0.306918,0.296958,0.034533,0.387042,0
Colleague,Q_2_likes_nationality,6,1.694608,1.267021,1.160890,4.716708,0
Colleague,Q_2_likes_nationality,17,0.667744,0.627771,0.081831,0.855417,0
Colleague,Q_2_likes_nationality,52,1.161640,1.111167,0.159092,1.517708,1
Colleague,Q_2_subscribes_likes,4,0.003313,0.002292,0.001974,0.007250,0
Colleague,Q_2_subscribes_likes,39,0.004268,0.002417,0.006357,0.006708,0
Colleague,Q_2_subscribes_likes,61,0.003114,0.002333,0.001479,0.005958,0
Colleague,Q_2_tag_homepage,44,0.322696,0.318813,0.032188,0.378792,0
Colleague,Q_3_location_nationality_gender,6,0.337900,0.288875,0.135951,0.463875,0
Colleague,Q_3_location_nationality_gender,33,0.676733,0.609521,0.195114,1.040958,0
Colleague,Q_3_location_nationality_gender,34,0.710458,0.576500,0.325115,1.758125,0
Colleague,Q_3_location_nationality_gender,43,0.633578,0.632250,0.029157,0.696875,0
Colleague,Q_3_location_nationality_gender,91,0.879996,0.797563,0.215525,1.461500,0
Colleague,Q_3_location_nationality_gender,92,1.274960,1.015479,0.777791,2.807083,0
Colleague,Q_3_location_gender_type,4,29.792996,27.145583,8.516090,52.906417,14
Colleague,Q_3_location_gender_type,7,53.276797,52.749209,9.598091,68.126750,26
Colleague,Q_3_nationality_gender_type,4,32.477725,31.208521,7.135376,49.450208,20
Colleague,Q_4_location_nationality_gender_type,3,0.774551,0.629708,0.438441,2.114334,0
Colleague,Q_4_location_nationality_gender_type,45,0.356822,0.352917,0.020839,0.383541,0
InteGraal,Q_1_eligibleregion,43,0.067222,0.061708,0.025938,0.085500,6
InteGraal,Q_1_eligibleregion,52,0.031869,0.027709,0.013493,0.078708,6
InteGraal,Q_1_includes,10,0.032249,0.016584,0.034316,0.106542,0
InteGraal,Q_1_subscribes,42,0.013979,0.012313,0.003045,0.018500,0
InteGraal,Q_1_nationality,0,0.274494,0.214375,0.127824,0.612708,88
InteGraal,Q_1_nationality,4,0.100526,0.095542,0.015521,0.113125,36
InteGraal,Q_1_nationality,22,0.312518,0.306979,0.015532,0.349708,162
InteGraal,Q_1_nationality,40,0.184696,0.139562,0.107655,0.526333,57
InteGraal,Q_1_likes,0,0.005608,0.004709,0.001692,0.009125,0
InteGraal,Q_1_likes,5,0.005153,0.004417,0.001279,0.007375,0
InteGraal,Q_2_includes_eligibleRegion,18,0.011743,0.012083,0.001836,0.014917,0
InteGraal,Q_2_includes_eligibleRegion,38,0.013103,0.011417,0.006644,0.032459,0
InteGraal,Q_2_includes_eligibleRegion,62,0.023158,0.021479,0.008798,0.025500,0
InteGraal,Q_2_includes_eligibleRegion,68,0.011928,0.010646,0.006196,0.023709,0
InteGraal,Q_2_includes_eligibleRegion,74,0.036167,0.028125,0.035009,0.117750,0
InteGraal,Q_2_includes_eligibleRegion,92,0.029761,0.013355,0.070077,0.064333,0
InteGraal,Q_2_likes_nationality,6,0.026696,0.022313,0.019380,0.074000,0
InteGraal,Q_2_likes_nationality,17,0.071312,0.038834,0.110023,0.254541,0
InteGraal,Q_2_likes_nationality,52,0.176267,0.170292,0.041040,0.243708,1
InteGraal,Q_2_subscribes_likes,4,0.009617,0.009313,0.002241,0.013917,0
InteGraal,Q_2_subscribes_likes,39,0.008928,0.009333,0.001634,0.011666,0
InteGraal,Q_2_subscribes_likes,61,0.009226,0.009417,0.001558,0.011666,0
InteGraal,Q_2_tag_homepage,44,0.010104,0.009855,0.002517,0.016667,0
InteGraal,Q_3_location_nationality_gender,6,0.014880,0.014208,0.003725,0.021875,0
InteGraal,Q_3_location_nationality_gender,33,0.027115,0.024334,0.016238,0.040709,0
InteGraal,Q_3_location_nationality_gender,34,0.081378,0.078125,0.013172,0.117917,0
InteGraal,Q_3_location_nationality_gender,43,0.102230,0.058772,0.074706,0.252250,0
InteGraal,Q_3_location_nationality_gender,91,0.050293,0.044563,0.020263,0.108042,0
InteGraal,Q_3_location_nationality_gender,92,0.028285,0.027417,0.003558,0.031750,0
InteGraal,Q_3_location_gender_type,4,0.991708,0.983625,0.070323,1.122291,14
InteGraal,Q_3_location_gender_type,7,2.711739,2.370292,0.986190,5.455000,26
InteGraal,Q_3_nationality_gender_type,4,0.951468,0.861834,0.482507,1.023875,20
InteGraal,Q_4_location_nationality_gender_type,3,0.035247,0.035270,0.001917,0.038583,0
InteGraal,Q_4_location_nationality_gender_type,45,0.018586,0.017375,0.002470,0.023750,0
