ordering,repetition,query_id,position,time_ms,result_count
original,1,Q_1_eligibleregion_43,1,0.023833,6
original,1,Q_1_eligibleregion_52,2,0.016500,6
original,1,Q_1_includes_10,3,0.002125,0
original,1,Q_1_subscribes_42,4,0.001833,0
original,1,Q_1_nationality_0,5,0.046084,88
original,1,Q_1_nationality_4,6,0.019542,36
original,1,Q_1_nationality_22,7,0.060541,162
original,1,Q_1_likes_0,8,0.001750,0
original,1,Q_1_nationality_40,9,0.020959,57
original,1,Q_2_includes_eligibleRegion_18,10,0.004916,0
original,1,Q_2_includes_eligibleRegion_62,11,0.295084,0
original,1,Q_2_includes_eligibleRegion_68,12,0.002959,0
original,1,Q_2_likes_nationality_6,13,0.004250,0
original,1,Q_2_likes_nationality_17,14,0.102625,0
original,1,Q_2_subscribes_likes_4,15,0.003333,0
original,1,Q_2_tag_homepage_44,16,0.006333,0
original,1,Q_3_location_nationality_gender_6,17,0.004375,0
original,1,Q_3_location_nationality_gender_33,18,0.002875,0
original,1,Q_3_location_nationality_gender_34,19,0.123333,0
original,1,Q_3_location_nationality_gender_91,20,0.161834,0
original,1,Q_3_location_gender_type_4,21,50.861292,14
original,1,Q_3_location_gender_type_7,22,107.844666,26
original,1,Q_3_nationality_gender_type_4,23,52.797792,20
original,1,Q_4_location_nationality_gender_type_3,24,0.014875,0
original,1,Q_4_location_nationality_gender_type_45,25,0.013041,0
original,2,Q_1_eligibleregion_43,1,0.012333,6
original,2,Q_1_eligibleregion_52,2,0.012791,6
original,2,Q_1_includes_10,3,0.001458,0
original,2,Q_1_subscribes_42,4,0.006000,0
original,2,Q_1_nationality_0,5,0.025042,88
original,2,Q_1_nationality_4,6,0.008792,36
original,2,Q_1_nationality_22,7,0.036417,162
original,2,Q_1_likes_0,8,0.002709,0
original,2,Q_1_nationality_40,9,0.017083,57
original,2,Q_2_includes_eligibleRegion_18,10,0.003792,0
original,2,Q_2_includes_eligibleRegion_62,11,0.348500,0
original,2,Q_2_includes_eligibleRegion_68,12,0.004083,0
original,2,Q_2_likes_nationality_6,13,0.006167,0
original,2,Q_2_likes_nationality_17,14,0.085375,0
original,2,Q_2_subscribes_likes_4,15,0.004709,0
original,2,Q_2_tag_homepage_44,16,0.009625,0
original,2,Q_3_location_nationality_gender_6,17,0.001417,0
original,2,Q_3_location_nationality_gender_33,18,0.001875,0
original,2,Q_3_location_nationality_gender_34,19,0.130542,0
original,2,Q_3_location_nationality_gender_91,20,0.154583,0
original,2,Q_3_location_gender_type_4,21,112.037250,14
original,2,Q_3_location_gender_type_7,22,98.616500,26
original,2,Q_3_nationality_gender_type_4,23,54.674084,20
original,2,Q_4_location_nationality_gender_type_3,24,0.026917,0
original,2,Q_4_location_nationality_gender_type_45,25,0.008000,0
original,3,Q_1_eligibleregion_43,1,0.025375,6
original,3,Q_1_eligibleregion_52,2,0.007666,6
original,3,Q_1_includes_10,3,0.003708,0
original,3,Q_1_subscribes_42,4,0.000750,0
original,3,Q_1_nationality_0,5,0.020458,88
original,3,Q_1_nationality_4,6,0.007666,36
original,3,Q_1_nationality_22,7,0.038250,162
original,3,Q_1_likes_0,8,0.000958,0
original,3,Q_1_nationality_40,9,0.011084,57
original,3,Q_2_includes_eligibleRegion_18,10,0.005375,0
original,3,Q_2_includes_eligibleRegion_62,11,0.321000,0
original,3,Q_2_includes_eligibleRegion_68,12,0.004792,0
original,3,Q_2_likes_nationality_6,13,0.007833,0
original,3,Q_2_likes_nationality_17,14,0.089583,0
original,3,Q_2_subscribes_likes_4,15,0.004125,0
original,3,Q_2_tag_homepage_44,16,0.004791,0
original,3,Q_3_location_nationality_gender_6,17,0.001500,0
original,3,Q_3_location_nationality_gender_33,18,0.002500,0
original,3,Q_3_location_nationality_gender_34,19,0.122667,0
original,3,Q_3_location_nationality_gender_91,20,0.146875,0
original,3,Q_3_location_gender_type_4,21,46.139667,14
